char,label
"
",O
围,O
术,O
期,O
血,B-Test
糖,I-Test
测,O
量,O
方,O
法,O
床,O
旁,O
快,O
速,O
血,B-Test
糖,I-Test
仪,O
测,O
量,O
指,O
血,O
(,O
毛,O
细,O
"
",O
血,O
管,O
血,O
),O
血,B-Test
糖,I-Test
用,O
于,O
血,O
流,O
动,O
力,O
学,O
稳,O
定,O
的,O
患,O
者,O
。,O
血,B-Test
糖,I-Test
仪,O
需,O
定,O
期,O
校,O
"
",O
准,O
。,O
严,B-Level
重,I-Level
低,B-Disease
血,I-Disease
糖,I-Disease
时,O
血,B-Test
糖,I-Test
仪,O
所,O
测,O
得,O
的,O
数,O
值,O
可,O
能,O
偏,O
高,O
",",O
应,O
与,O
中,O
心,O
"
",O
实,O
验,O
室,O
测,O
量,O
的,O
静,O
脉,O
血,O
结,O
果,O
进,O
行,O
对,O
照,O
。,O
动,B-Test
脉,I-Test
或,I-Test
静,I-Test
脉,I-Test
血,I-Test
气,I-Test
分,I-Test
析,I-Test
"
",O
是,O
围,O
术,O
期,O
血,B-Test
糖,I-Test
监,I-Test
测,I-Test
的,O
金,O
标,O
准,O
。,O
在,O
低,B-Reason
血,I-Reason
压,I-Reason
、,O
组,B-Reason
织,I-Reason
低,I-Reason
灌,I-Reason
注,I-Reason
、,O
贫,B-Reason
血,I-Reason
"
",O
以,O
及,O
高,B-Reason
血,I-Reason
脂,I-Reason
、,O
高,B-Reason
胆,I-Reason
红,I-Reason
素,I-Reason
血,I-Reason
症,I-Reason
等,O
代,O
谢,O
异,O
常,O
的,O
情,O
况,O
下,O
",",O
指,O
血,O
血,B-Test
糖,I-Test
"
",O
准,O
确,O
性,O
下,O
降,O
",",O
应,O
使,O
用,O
动,O
脉,O
血,O
气,O
监,O
测,O
血,B-Test
糖,I-Test
。,O
生,O
理,O
情,O
况,O
下,O
",",O
动,O
脉,O
"
",O
血,B-Test
糖,I-Test
较,O
毛,O
细,O
血,O
管,O
血,B-Test
糖,I-Test
高,B-Test_Value
0,I-Test_Value
.,I-Test_Value
3,I-Test_Value
 ,I-Test_Value
r,I-Test_Value
e,I-Test_Value
t,I-Test_Value
o,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
[,O
“,O
。,O
"
",O
围,O
术,O
期,O
血,B-Test
糖,I-Test
监,O
测,O
频,O
率,O
正,O
常,O
饮,O
食,O
的,O
患,O
者,O
监,O
测,O
空,B-Test
腹,I-Test
血,I-Test
糖,I-Test
、,O
"
",O
三,B-Test
餐,I-Test
后,I-Test
血,I-Test
糖,I-Test
和,O
睡,B-Test
前,I-Test
血,I-Test
糖,I-Test
。,O
禁,O
食,O
患,O
者,O
每,B-Frequency
4,I-Frequency
~,I-Frequency
6,I-Frequency
小,I-Frequency
时,I-Frequency
监,O
测,O
一,O
次,O
血,B-Test
"
",I-Test
糖,I-Test
[,O
4,O
],O
。,O
术,B-Test
中,I-Test
血,I-Test
糖,I-Test
波,O
动,O
风,O
险,O
高,O
",",O
低,B-Disease
血,I-Disease
糖,I-Disease
表,O
现,O
难,O
以,O
发,O
现,O
",",O
应,O
1,B-Frequency
~,I-Frequency
2,I-Frequency
"
",I-Frequency
小,I-Frequency
时,I-Frequency
监,I-Frequency
测,I-Frequency
一,I-Frequency
次,I-Frequency
血,B-Test
糖,I-Test
。,O
危,B-Reason
重,I-Reason
患,O
者,O
、,O
大,B-Reason
手,I-Reason
术,I-Reason
或,O
持,B-Reason
续,I-Reason
静,I-Reason
脉,I-Reason
输,I-Reason
注,I-Reason
胰,I-Reason
岛,I-Reason
"
",I-Reason
素,I-Reason
的,O
患,O
者,O
",",O
每,B-Frequency
0,I-Frequency
.,I-Frequency
5,I-Frequency
~,I-Frequency
1,I-Frequency
小,I-Frequency
时,I-Frequency
监,I-Frequency
测,I-Frequency
一,I-Frequency
次,I-Frequency
。,O
体,B-Operation
外,I-Operation
循,I-Operation
环,I-Operation
手,I-Operation
术,I-Operation
中,O
",",O
降,O
温,O
"
",O
复,O
温,O
期,O
间,O
血,B-Test
糖,I-Test
波,I-Test
动,I-Test
大,B-Level
",",O
每,B-Frequency
1,I-Frequency
5,I-Frequency
分,I-Frequency
钟,I-Frequency
监,I-Frequency
测,I-Frequency
一,I-Frequency
次,I-Frequency
。,O
血,B-Test_Value
糖,I-Test_Value
≤,I-Test_Value
7,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
"
",I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
3,I-Test_Value
.,I-Test_Value
9,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
m,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
时,O
每,B-Frequency
5,I-Frequency
~,I-Frequency
1,I-Frequency
5,I-Frequency
分,I-Frequency
钟,I-Frequency
监,I-Frequency
测,I-Frequency
一,I-Frequency
次,I-Frequency
直,O
至,O
低,B-Disease
血,I-Disease
糖,I-Disease
得,O
到,O
"
",O
纠,O
正,O
[,O
1,O
’,O
2,O
’,O
“,O
。,O
病,B-Level
情,I-Level
稳,I-Level
定,I-Level
的,O
门,B-Operation
诊,I-Operation
手,I-Operation
术,I-Operation
患,O
者,O
",",O
如,O
手,O
术,O
时,O
间,O
≤,O
2,O
小,O
"
",O
时,O
",",O
在,O
人,O
院,O
后,O
和,O
离,O
院,O
前,O
分,O
别,O
监,O
测,O
一,O
次,O
血,B-Test
糖,I-Test
[,O
5,O
矗,O
],O
。,O
"
",O
围,O
术,O
期,O
血,B-Test
糖,I-Test
控,O
制,O
目,O
标,O
"
",O
1,O
.,O
推,O
荐,O
围,B-Test
术,I-Test
期,I-Test
血,I-Test
糖,I-Test
控,O
制,O
在,O
1,B-Test_Value
4,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
7,I-Test_Value
.,I-Test_Value
8,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
m,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
~,I-Test_Value
"
",I-Test_Value
1,I-Test_Value
8,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
1,I-Test_Value
0,I-Test_Value
.,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
m,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),O
",",O
不,O
建,O
议,O
控,B-Level
制,I-Level
过,I-Level
严,I-Level
。,O
正,O
常,O
饮,O
食,O
的,O
"
",O
患,O
者,O
控,O
制,O
餐,B-Test_Value
前,I-Test_Value
血,I-Test_Value
糖,I-Test_Value
≤,I-Test_Value
1,I-Test_Value
4,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
7,I-Test_Value
.,I-Test_Value
8,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
m,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
",",O
餐,B-Test
后,I-Test
血,I-Test
糖,I-Test
≤,I-Test_Value
"
",I-Test_Value
1,I-Test_Value
8,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
1,I-Test_Value
0,I-Test_Value
.,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
m,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
。,O
"
",O
2,O
.,O
术,O
后,O
I,O
C,O
U,O
住,O
院,O
时,O
间,O
≥,O
3,O
 ,O
d,O
的,O
危,B-Level
重,I-Level
患,O
者,O
",",O
推,O
荐,O
血,B-Test
糖,I-Test
目,O
标,O
"
",O
值,O
≤,B-Test_Value
1,I-Test_Value
5,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
8,I-Test_Value
.,I-Test_Value
4,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
m,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
L,I-Test_Value
8,I-Test_Value
J,I-Test_Value
。,O
"
",O
3,O
.,O
根,O
据,O
患,O
者,O
手,B-Reason
术,I-Reason
类,I-Reason
型,I-Reason
、,O
术,B-Reason
前,I-Reason
血,I-Reason
糖,I-Reason
水,I-Reason
平,I-Reason
、,O
脏,B-Reason
器,I-Reason
功,I-Reason
能,I-Reason
",",O
建,O
立,O
"
",O
围,O
术,O
期,O
血,B-Test
糖,I-Test
控,O
制,O
的,O
个,O
体,O
化,O
目,O
标,O
。,O
整,B-Operation
形,I-Operation
手,I-Operation
术,I-Operation
对,O
伤,O
口,O
愈,O
合,O
要,O
求,O
"
",O
高,O
",",O
血,B-Test_Value
糖,I-Test_Value
目,I-Test_Value
标,I-Test_Value
降,I-Test_Value
低,I-Test_Value
至,I-Test_Value
1,I-Test_Value
0,I-Test_Value
8,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
6,I-Test_Value
.,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
m,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
~,I-Test_Value
1,I-Test_Value
4,I-Test_Value
4,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
"
",I-Test_Value
(,I-Test_Value
8,I-Test_Value
.,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
m,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),O
有,O
利,O
于,O
减,O
少,O
术,B-Disease
后,I-Disease
伤,I-Disease
口,I-Disease
感,I-Disease
染,I-Disease
。,O
脑,B-Disease
血,I-Disease
管,I-Disease
疾,I-Disease
病,I-Disease
患,O
者,O
"
",O
对,O
低,B-Disease
血,I-Disease
糖,I-Disease
耐,I-Disease
受,I-Disease
差,I-Disease
",",O
血,B-Test
糖,I-Test
目,O
标,O
值,O
可,O
适,O
当,O
放,O
宽,O
至,O
≤,B-Test_Value
2,I-Test_Value
1,I-Test_Value
4,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
"
",I-Test_Value
(,I-Test_Value
1,I-Test_Value
2,I-Test_Value
.,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
r,I-Test_Value
e,I-Test_Value
t,I-Test_Value
o,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
口,I-Test_Value
’,I-Test_Value
7,I-Test_Value
],I-Test_Value
。,O
高,B-Reason
龄,I-Reason
、,O
有,B-Reason
严,I-Reason
重,I-Reason
合,I-Reason
并,I-Reason
症,I-Reason
、,O
频,B-Reason
繁,I-Reason
发,I-Reason
作,I-Reason
低,I-Reason
血,I-Reason
糖,I-Reason
"
",O
的,O
患,O
者,O
",",O
血,B-Test
糖,I-Test
目,O
标,O
值,O
也,O
可,O
适,O
当,O
放,O
宽,O
。,O
原,O
则,O
上,O
血,B-Test
糖,I-Test
最,O
高,O
不,O
宜,O
超,O
"
",O
过,O
2,B-Test_Value
5,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
1,I-Test_Value
3,I-Test_Value
.,I-Test_Value
9,I-Test_Value
 ,I-Test_Value
r,I-Test_Value
e,I-Test_Value
t,I-Test_Value
o,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
。,O
"
",O
血,B-Test
糖,I-Test
管,O
理,O
实,O
施,O
方,O
案,O
"
",O
高,O
血,B-Test
糖,I-Test
"
",O
1,O
.,O
糖,B-Disease
尿,I-Disease
病,I-Disease
患,O
者,O
围,O
术,O
期,O
需,O
要,O
输,O
注,O
葡,B-Drug
萄,I-Drug
糖,I-Drug
者,O
",",O
建,O
议,O
液,O
体,O
"
",O
中,O
按,O
糖,O
(,O
g,O
),O
:,O
胰,B-Drug
岛,I-Drug
素,I-Drug
(,O
u,O
),O
一,O
3,B-Method
~,I-Method
4,I-Method
:,I-Method
1,I-Method
的,O
比,O
例,O
加,O
用,O
胰,B-Drug
岛,I-Drug
素,I-Drug
中,O
"
",O
和,O
。,O
肠,B-Treatment
内,I-Treatment
外,I-Treatment
营,I-Treatment
养,I-Treatment
的,O
患,O
者,O
应,O
注,O
意,O
营,B-Drug
养,I-Drug
液,I-Drug
中,O
的,O
糖,O
负,O
荷,O
",",O
选,O
用,O
"
",O
糖,B-Drug
尿,I-Drug
病,I-Drug
专,I-Drug
用,I-Drug
型,I-Drug
制,I-Drug
剂,I-Drug
",",O
适,O
当,O
降,O
低,O
糖,O
与,O
脂,O
肪,O
的,O
比,O
例,O
",",O
缓,B-Method
慢,I-Method
输,I-Method
"
",I-Method
注,I-Method
",",O
通,O
过,O
降,O
低,O
糖,B-Test
类,I-Test
总,I-Test
量,I-Test
、,O
减,O
慢,O
吸,O
收,O
速,O
度,O
",",O
降,O
低,O
血,B-Test
糖,I-Test
峰,I-Test
值,I-Test
",",O
减,O
"
",O
少,O
血,B-Test
糖,I-Test
波,I-Test
动,I-Test
。,O
"
",O
2,O
.,O
尽,O
量,O
避,O
免,O
引,O
起,O
血,B-Test
糖,I-Test
升,I-Test
高,I-Test
的,O
其,O
他,O
因,O
素,O
。,O
地,B-Drug
塞,I-Drug
米,I-Drug
松,I-Drug
常,O
用,O
"
",O
于,O
预,O
防,O
术,O
后,O
恶,O
一,O
L,O
",",O
P,O
E,O
吐,O
",",O
可,O
升,O
高,O
血,B-Test
糖,I-Test
水,O
平,O
。,O
使,O
用,O
其,O
他,O
糖,B-Drug
皮,I-Drug
质,I-Drug
激,I-Drug
"
",I-Drug
素,I-Drug
、,O
儿,B-Drug
茶,I-Drug
酚,I-Drug
胺,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
、,O
生,B-Drug
长,I-Drug
抑,I-Drug
素,I-Drug
和,O
免,B-Drug
疫,I-Drug
抑,I-Drug
制,I-Drug
剂,I-Drug
也,O
可,O
能,O
造,O
成,O
血,B-Test
"
",I-Test
糖,I-Test
增,I-Test
高,I-Test
。,O
"
",O
3,O
.,O
血,B-Test_Value
糖,I-Test_Value
>,I-Test_Value
1,I-Test_Value
8,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
1,I-Test_Value
0,I-Test_Value
.,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
r,I-Test_Value
e,I-Test_Value
t,I-Test_Value
o,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
开,O
始,O
胰,B-Drug
岛,I-Drug
素,I-Drug
治,O
"
",O
疗,O
[,O
1,O
’,O
2,O
],O
。,O
静,B-Method
脉,I-Method
给,I-Method
胰,I-Method
岛,I-Method
素,I-Method
起,O
效,O
快,O
",",O
方,O
便,O
滴,O
定,O
剂,O
量,O
",",O
术,O
中,O
和,O
术,O
后,O
"
",O
I,O
C,O
U,O
期,O
间,O
适,O
宜,O
静,B-Method
脉,I-Method
给,I-Method
药,I-Method
。,O
持,B-Method
续,I-Method
静,I-Method
脉,I-Method
泵,I-Method
注,I-Method
胰,I-Method
岛,I-Method
素,I-Method
有,O
利,O
于,O
减,O
少,O
"
",O
血,B-Test
糖,I-Test
波,I-Test
动,I-Test
",",O
糖,B-Disease
尿,I-Disease
病,I-Disease
患,O
者,O
以,O
及,O
术,O
前,O
已,O
经,O
使,O
用,O
静,B-Drug
脉,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
的,O
患,O
者,O
"
",O
术,O
中,O
首,O
选,O
持,B-Method
续,I-Method
静,I-Method
脉,I-Method
泵,I-Method
注,I-Method
胰,B-Drug
岛,I-Drug
素,I-Drug
。,O
应,B-Disease
激,I-Disease
性,I-Disease
高,I-Disease
血,I-Disease
糖,I-Disease
的,O
患,O
者,O
可,O
选,O
"
",O
择,O
单,B-Method
次,I-Method
或,I-Method
间,I-Method
断,I-Method
静,I-Method
脉,I-Method
推,I-Method
注,I-Method
胰,B-Drug
岛,I-Drug
素,I-Drug
",",O
如,O
血,B-Test
糖,I-Test
仍,I-Test
高,I-Test
",",O
则,O
予,O
持,B-Method
续,I-Method
泵,I-Method
注,I-Method
。,O
"
",O
通,O
常,O
使,O
用,O
短,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
加,O
入,O
生,O
理,O
盐,O
水,O
",",O
浓,O
度,O
l,O
 ,O
U,O
/,O
m,O
l,O
配,O
泵,O
",",O
参,O
"
",O
照,O
患,O
者,O
的,O
血,B-Test
糖,I-Test
水,I-Test
平,I-Test
、,O
术,B-Drug
前,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
用,I-Drug
量,I-Drug
、,O
手,B-Reason
术,I-Reason
刺,I-Reason
激,I-Reason
大,I-Reason
小,I-Reason
等,O
因,O
素,O
"
",O
来,O
确,O
定,O
胰,B-Drug
岛,I-Drug
素,I-Drug
的,O
用,O
量,O
",",O
密,O
切,O
监,O
测,O
",",O
根,O
据,O
血,B-Test
糖,I-Test
升,O
降,O
适,O
当,O
调,O
整,O
泵,O
"
",O
速,O
",",O
注,O
意,O
个,O
体,O
化,O
给,O
药,O
",",O
避,O
免,O
发,O
生,O
低,B-Disease
血,I-Disease
糖,I-Disease
。,O
胰,B-Drug
岛,I-Drug
素,I-Drug
皮,B-Method
下,I-Method
注,I-Method
射,I-Method
适,O
"
",O
合,O
病,B-Level
情,I-Level
稳,I-Level
定,I-Level
的,O
非,B-Level
重,I-Level
症,I-Level
患,O
者,O
",",O
常,O
用,O
于,O
术,O
前,O
术,O
后,O
过,O
渡,O
;,O
注,O
意,O
避,O
免,O
"
",O
短,O
时,O
问,O
内,O
反,O
复,O
给,O
药,O
造,O
成,O
降,O
糖,O
药,O
效,O
叠,O
加,O
。,O
"
",O
4,O
.,O
严,B-Level
重,I-Level
高,B-Disease
血,I-Disease
糖,I-Disease
可,O
能,O
造,O
成,O
渗,B-Disease
透,I-Disease
性,I-Disease
利,I-Disease
尿,I-Disease
",",O
引,O
起,O
高,B-Disease
渗,I-Disease
性,I-Disease
脱,I-Disease
水,I-Disease
"
",O
和,O
低,B-Disease
钾,I-Disease
血,I-Disease
症,I-Disease
",",O
应,O
注,O
意,O
维,B-Treatment
持,I-Treatment
水,I-Treatment
电,I-Treatment
解,I-Treatment
质,I-Treatment
平,I-Treatment
衡,I-Treatment
。,O
术,O
中,O
由,O
于,O
多,O
数,O
患,O
者,O
"
",O
血,B-Test
糖,I-Test
水,I-Test
平,I-Test
增,B-Level
高,I-Level
",",O
一,O
般,O
输,O
注,O
无,B-Drug
糖,I-Drug
液,I-Drug
体,I-Drug
。,O
术,O
后,O
和,O
过,O
长,O
时,O
间,O
的,O
手,O
术,O
"
",O
当,O
中,O
",",O
为,O
了,O
减,O
少,O
酮,B-Disease
体,I-Disease
合,I-Disease
成,I-Disease
和,O
酸,B-Disease
中,I-Disease
毒,I-Disease
风,O
险,O
",",O
在,O
血,B-Test_Value
糖,I-Test_Value
<,I-Test_Value
2,I-Test_Value
5,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
"
",I-Test_Value
(,I-Test_Value
1,I-Test_Value
3,I-Test_Value
.,I-Test_Value
9,I-Test_Value
 ,I-Test_Value
r,I-Test_Value
e,I-Test_Value
t,I-Test_Value
o,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
的,I-Test_Value
前,O
提,O
下,O
",",O
静,B-Method
脉,I-Method
泵,I-Method
注,I-Method
胰,B-Drug
岛,I-Drug
素,I-Drug
的,O
同,O
时,O
可,O
泵,B-Method
注,I-Method
加,O
"
",O
入,O
中,O
和,O
比,O
例,O
胰,B-Drug
岛,I-Drug
素,I-Drug
的,O
含,B-Drug
糖,I-Drug
液,I-Drug
体,I-Drug
",",O
根,O
据,O
测,O
得,O
的,O
血,B-Test
糖,I-Test
水,O
平,O
调,O
节,O
泵,O
"
",O
速,O
。,O
胰,B-Drug
岛,I-Drug
素,I-Drug
+,O
糖,O
双,B-Method
泵,I-Method
同,O
时,O
输,B-Method
注,I-Method
有,O
利,O
于,O
减,O
少,O
血,B-Test
糖,I-Test
波,I-Test
动,I-Test
",",O
但,O
可,O
能,O
"
",O
促,O
使,O
钾,O
向,O
细,O
胞,O
内,O
转,O
移,O
",",O
进,O
一,O
步,O
加,O
重,O
低,B-Disease
钾,I-Disease
血,I-Disease
症,I-Disease
。,O
因,O
此,O
",",O
持,B-Method
续,I-Method
静,I-Method
"
",I-Method
脉,I-Method
泵,I-Method
注,I-Method
胰,B-Drug
岛,I-Drug
素,I-Drug
时,O
应,O
注,O
意,O
监,B-Test
测,I-Test
血,I-Test
钾,I-Test
",",O
可,O
预,O
防,O
性,O
补,O
钾,O
[,O
9,O
],O
。,O
"
",O
低,B-Disease
血,I-Disease
糖,I-Disease
"
",O
1,O
.,O
低,B-Disease
血,I-Disease
糖,I-Disease
的,O
危,O
害,O
超,O
过,O
高,B-Disease
血,I-Disease
糖,I-Disease
。,O
血,B-Test
糖,I-Test
≤,B-Test_Value
5,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
2,I-Test_Value
.,I-Test_Value
8,I-Test_Value
"
",I-Test_Value
m,I-Test_Value
m,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
时,O
出,O
现,B-Disease
认,I-Disease
知,I-Disease
功,I-Disease
能,I-Disease
障,I-Disease
碍,I-Disease
",",O
长,O
时,O
间,O
≤,B-Test_Value
4,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
2,I-Test_Value
.,I-Test_Value
2,I-Test_Value
"
",I-Test_Value
r,I-Test_Value
e,I-Test_Value
t,I-Test_Value
o,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
的,O
严,B-Level
重,I-Level
低,B-Disease
血,I-Disease
糖,I-Disease
可,O
造,O
成,O
脑,B-Disease
死,I-Disease
亡,I-Disease
。,O
发,O
生,O
一,O
次,O
低,B-Disease
血,I-Disease
糖,I-Disease
围,B-Disease
"
",I-Disease
术,I-Disease
期,I-Disease
死,I-Disease
亡,I-Disease
率,O
即,O
可,O
增,O
加,O
。,O
"
",O
2,O
.,O
低,B-Disease
血,I-Disease
糖,I-Disease
重,O
在,O
预,O
防,O
和,O
及,O
时,O
发,O
现,O
。,O
衰,B-Reason
弱,I-Reason
、,O
严,B-Level
重,I-Level
感,B-Reason
染,I-Reason
、,O
肝,B-Reason
肾,I-Reason
"
",I-Reason
功,I-Reason
能,I-Reason
不,I-Reason
全,I-Reason
的,O
患,O
者,O
低,B-Disease
血,I-Disease
糖,I-Disease
风,O
险,O
增,O
加,O
。,O
长,O
期,O
未,O
得,O
到,O
有,O
效,O
控,O
制,O
的,O
"
",O
糖,O
尿,O
病,O
患,O
者,O
可,O
能,O
在,O
正,O
常,O
的,O
血,B-Test
糖,I-Test
水,O
平,O
即,O
发,O
生,B-Disease
低,I-Disease
血,I-Disease
糖,I-Disease
反,O
应,O
。,O
脑,B-Disease
"
",I-Disease
损,I-Disease
伤,I-Disease
患,O
者,O
难,O
以,O
耐,O
受,O
1,B-Test_Value
0,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
5,I-Test_Value
.,I-Test_Value
6,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
m,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
以,O
下,O
的,O
血,B-Test
糖,I-Test
水,O
"
",O
平,O
。,O
需,O
要,O
警,O
惕,O
的,O
是,O
",",O
全,B-Operation
麻,I-Operation
镇,I-Operation
静,I-Operation
患,O
者,O
的,O
低,B-Disease
血,I-Disease
糖,I-Disease
症,O
状,O
可,O
能,O
被,O
掩,O
"
",O
盖,O
",",O
不,O
易,O
及,O
时,O
发,O
现,O
。,O
"
",O
3,B-Method
.,I-Method
静,I-Method
脉,I-Method
输,I-Method
注,I-Method
胰,B-Drug
岛,I-Drug
素,I-Drug
的,O
患,O
者,O
血,B-Test
糖,I-Test
≤,B-Test_Value
1,I-Test_Value
0,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
5,I-Test_Value
.,I-Test_Value
6,I-Test_Value
"
",I-Test_Value
r,I-Test_Value
e,I-Test_Value
t,I-Test_Value
o,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
应,O
重,O
新,O
评,O
估,O
",",O
调,O
整,O
泵,O
速,O
。,O
血,B-Test_Value
糖,I-Test_Value
≤,I-Test_Value
7,I-Test_Value
0,I-Test_Value
 ,I-Test_Value
m,I-Test_Value
g,I-Test_Value
/,I-Test_Value
d,I-Test_Value
l,I-Test_Value
(,I-Test_Value
3,I-Test_Value
.,I-Test_Value
9,I-Test_Value
"
",I-Test_Value
r,I-Test_Value
e,I-Test_Value
t,I-Test_Value
o,I-Test_Value
o,I-Test_Value
l,I-Test_Value
/,I-Test_Value
L,I-Test_Value
),I-Test_Value
立,O
即,O
停,O
用,O
胰,B-Drug
岛,I-Drug
素,I-Drug
",",O
开,O
始,O
升,O
血,B-Test
糖,I-Test
处,O
理,O
[,O
1,O
’,O
1,O
⋯,O
。,O
可,O
进,O
食,O
的,O
"
",O
清,O
醒,O
患,O
者,O
立,O
即,O
口,B-Method
服,I-Method
1,B-Amount
0,I-Amount
~,I-Amount
2,I-Amount
5,I-Amount
9,I-Amount
快,O
速,O
吸,O
收,O
的,O
碳,B-Drug
水,I-Drug
化,I-Drug
合,I-Drug
物,I-Drug
(,I-Drug
如,I-Drug
含,I-Drug
糖,I-Drug
"
",I-Drug
饮,I-Drug
料,I-Drug
),I-Drug
",",O
不,O
能,O
口,O
服,O
的,O
静,B-Method
脉,I-Method
推,I-Method
注,I-Method
5,B-Drug
0,I-Drug
%,I-Drug
葡,I-Drug
萄,I-Drug
糖,I-Drug
2,B-Amount
0,I-Amount
~,I-Amount
5,I-Amount
